GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gestionassociation,com.starterkit.springboot.brs.dto.model.bus,TripScheduleDto,127,0,0,0,12,0,20,0,20,0
gestionassociation,com.starterkit.springboot.brs.dto.model.bus,AgencyDto,75,0,0,0,8,0,12,0,12,0
gestionassociation,com.starterkit.springboot.brs.dto.model.bus,TripDto,127,0,0,0,12,0,20,0,20,0
gestionassociation,com.starterkit.springboot.brs.dto.model.bus,TicketDto,127,0,0,0,12,0,20,0,20,0
gestionassociation,com.starterkit.springboot.brs.dto.model.bus,BusDto,49,0,0,0,6,0,8,0,8,0
gestionassociation,com.starterkit.springboot.brs.dto.model.bus,StopDto,56,0,0,0,7,0,9,0,9,0
gestionassociation,com.starterkit.springboot.brs.service,BusReservationServiceImpl,835,3,56,0,156,1,52,1,24,1
gestionassociation,com.starterkit.springboot.brs.service,UserServiceImpl,191,3,10,0,33,1,10,1,5,1
gestionassociation,com.starterkit.springboot.brs.model.user,Role,16,11,0,0,2,3,4,3,4,3
gestionassociation,com.starterkit.springboot.brs.model.user,User,36,36,2,0,7,3,9,8,8,8
gestionassociation,com.starterkit.springboot.brs.model.user,UserRoles,0,24,0,0,0,2,0,1,0,1
gestionassociation,com.starterkit.springboot.brs.util,DateUtils,11,14,2,0,2,3,3,3,2,3
gestionassociation,com.starterkit.springboot.brs.util,RandomStringUtil,40,0,2,0,10,0,3,0,2,0
gestionassociation,com.starterkit.springboot.brs.security,CustomUserDetailsService,62,3,2,0,11,1,5,1,4,1
gestionassociation,com.starterkit.springboot.brs.security,MultiHttpSecurityConfig.ApiWebSecurityConfigurationAdapter,4,55,0,0,0,22,1,3,1,3
gestionassociation,com.starterkit.springboot.brs.security,MultiHttpSecurityConfig.FormLoginWebSecurityConfigurerAdapter,0,216,0,0,0,37,0,4,0,4
gestionassociation,com.starterkit.springboot.brs.security,MultiHttpSecurityConfig,0,3,0,0,0,1,0,1,0,1
gestionassociation,com.starterkit.springboot.brs.dto.model.user,UserDto,114,0,2,0,11,0,18,0,17,0
gestionassociation,com.starterkit.springboot.brs.dto.model.user,RoleDto,23,0,0,0,4,0,4,0,4,0
gestionassociation,com.starterkit.springboot.brs.dto.response,Response.PageMetadata,27,0,0,0,10,0,5,0,5,0
gestionassociation,com.starterkit.springboot.brs.dto.response,ResponseError,27,0,0,0,5,0,7,0,7,0
gestionassociation,com.starterkit.springboot.brs.dto.response,Response,141,0,0,0,39,0,19,0,19,0
gestionassociation,com.starterkit.springboot.brs.dto.response,Response.Status,0,94,0,0,0,2,0,1,0,1
gestionassociation,com.starterkit.springboot.brs.config,PropertiesConfig,5,3,0,0,1,1,1,1,1,1
gestionassociation,com.starterkit.springboot.brs.config,PageConfig,0,54,0,0,0,12,0,2,0,2
gestionassociation,com.starterkit.springboot.brs.config,FakeController.LoginRequest,19,0,0,0,4,0,5,0,5,0
gestionassociation,com.starterkit.springboot.brs.config,BrsConfiguration,0,105,0,0,0,32,0,7,0,7
gestionassociation,com.starterkit.springboot.brs.config,FakeController,10,3,0,0,2,1,2,1,2,1
gestionassociation,com.starterkit.springboot.brs.security.form,CustomAuthenticationSuccessHandler,24,3,4,0,6,1,3,1,1,1
gestionassociation,com.starterkit.springboot.brs.security.form,FormBasedJWTAuthenticationFilter,110,0,10,0,29,0,9,0,4,0
gestionassociation,com.starterkit.springboot.brs.security.form,CustomLogoutSuccessHandler,6,3,0,0,2,1,1,1,1,1
gestionassociation,com.starterkit.springboot.brs.controller.v1.request,GetTripSchedulesRequest,27,0,0,0,5,0,7,0,7,0
gestionassociation,com.starterkit.springboot.brs.controller.v1.request,UserSignupRequest,43,0,0,0,7,0,11,0,11,0
gestionassociation,com.starterkit.springboot.brs.controller.v1.request,BookTicketRequest,19,0,0,0,4,0,5,0,5,0
gestionassociation,com.starterkit.springboot.brs.controller.v1.command,TripFormCommand,226,0,34,0,6,0,32,0,15,0
gestionassociation,com.starterkit.springboot.brs.controller.v1.command,AdminSignupFormCommand,348,0,62,0,8,0,50,0,19,0
gestionassociation,com.starterkit.springboot.brs.controller.v1.command,ProfileFormCommand,172,0,30,0,4,0,26,0,11,0
gestionassociation,com.starterkit.springboot.brs.controller.v1.command,AgencyFormCommand,128,0,22,0,3,0,20,0,9,0
gestionassociation,com.starterkit.springboot.brs.controller.v1.command,PasswordFormCommand,128,0,22,0,3,0,20,0,9,0
gestionassociation,com.starterkit.springboot.brs.controller.v1.command,BusFormCommand,155,0,24,0,4,0,23,0,11,0
gestionassociation,com.starterkit.springboot.brs,BusReservationSystemApplication,5,306,13,13,2,98,14,3,1,3
gestionassociation,com.starterkit.springboot.brs.exception,EntityType,84,0,0,0,9,0,1,0,1,0
gestionassociation,com.starterkit.springboot.brs.exception,BRSException.DuplicateEntityException,4,0,0,0,2,0,1,0,1,0
gestionassociation,com.starterkit.springboot.brs.exception,CustomizedResponseEntityExceptionHandler,26,3,0,0,6,1,2,1,2,1
gestionassociation,com.starterkit.springboot.brs.exception,ExceptionType,48,0,0,0,8,0,3,0,3,0
gestionassociation,com.starterkit.springboot.brs.exception,BRSException,93,5,6,0,16,3,10,1,7,1
gestionassociation,com.starterkit.springboot.brs.exception,BRSException.EntityNotFoundException,4,0,0,0,2,0,1,0,1,0
gestionassociation,com.starterkit.springboot.brs.model.bus,Trip,20,39,0,0,5,4,6,9,6,9
gestionassociation,com.starterkit.springboot.brs.model.bus,Stop,14,21,0,0,3,3,4,5,4,5
gestionassociation,com.starterkit.springboot.brs.model.bus,TripSchedule,22,21,0,0,4,3,6,5,6,5
gestionassociation,com.starterkit.springboot.brs.model.bus,Ticket,48,3,0,0,7,1,12,1,12,1
gestionassociation,com.starterkit.springboot.brs.model.bus,Bus,19,24,0,0,3,4,5,6,5,6
gestionassociation,com.starterkit.springboot.brs.model.bus,Agency,17,34,0,0,4,4,5,8,5,8
gestionassociation,com.starterkit.springboot.brs.controller.v1.api,BusReservationController,143,3,12,0,33,1,10,1,4,1
gestionassociation,com.starterkit.springboot.brs.controller.v1.api,UserController,33,3,0,0,9,1,2,1,2,1
gestionassociation,com.starterkit.springboot.brs.security.api,ApiJWTAuthorizationFilter,91,4,12,0,26,2,8,1,2,1
gestionassociation,com.starterkit.springboot.brs.security.api,ApiJWTAuthenticationFilter,96,13,6,0,21,4,6,1,3,1
gestionassociation,com.starterkit.springboot.brs.dto.mapper,TripMapper,40,0,0,0,11,0,2,0,2,0
gestionassociation,com.starterkit.springboot.brs.dto.mapper,TripScheduleMapper,37,0,0,0,11,0,2,0,2,0
gestionassociation,com.starterkit.springboot.brs.dto.mapper,UserMapper,36,3,0,0,10,1,2,1,2,1
gestionassociation,com.starterkit.springboot.brs.dto.mapper,TicketMapper,44,0,0,0,11,0,2,0,2,0
gestionassociation,com.starterkit.springboot.brs.controller.v1.ui,DashboardController,577,3,12,0,135,1,16,1,10,1
gestionassociation,com.starterkit.springboot.brs.controller.v1.ui,AdminController,100,3,2,0,30,1,7,1,6,1
